Date,Time,Participant Name,Active Modality,Action / Command
2026-03-24,14:14:07,gv,Keyboard Controls,System Initialized & Session Started
2026-03-24,14:14:07,gv,System,Switched Modality to Keyboard Controls
2026-03-24,14:14:12,gv,Keyboard Controls,System: Switched Environment to Upload Custom Floorplan
2026-03-24,14:14:14,gv,Keyboard Controls,Action: FORWARD | Input: Keystroke
2026-03-24,14:14:15,gv,Keyboard Controls,Action: RIGHT | Input: Keystroke
2026-03-24,14:14:16,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:16,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:16,gv,Keyboard Controls,Action: FORWARD | Input: Keystroke
2026-03-24,14:14:17,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:18,gv,Keyboard Controls,Action: BACKWARD | Input: Keystroke
2026-03-24,14:14:19,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:20,gv,Keyboard Controls,Action: RIGHT | Input: Keystroke
2026-03-24,14:14:20,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:21,gv,Keyboard Controls,Action: RIGHT | Input: Keystroke
2026-03-24,14:14:21,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:22,gv,Keyboard Controls,Action: FORWARD | Input: Keystroke
2026-03-24,14:14:23,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:23,gv,Keyboard Controls,Action: FORWARD | Input: Keystroke
2026-03-24,14:14:24,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:24,gv,Keyboard Controls,Action: FORWARD | Input: Keystroke
2026-03-24,14:14:25,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:25,gv,Keyboard Controls,Action: BACKWARD | Input: Keystroke
2026-03-24,14:14:26,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:27,gv,Keyboard Controls,Action: RIGHT | Input: Keystroke
2026-03-24,14:14:27,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:28,gv,Keyboard Controls,Action: FORWARD | Input: Keystroke
2026-03-24,14:14:28,gv,Keyboard Controls,Action: STOP | Input: Key Released
2026-03-24,14:14:28,gv,Keyboard Controls,Action: RIGHT | Input: Keystroke
