epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.445,1.6092,4.98181,1.33454,0,0,0,0,1.19509,4.88694,1.05259,4.995e-05,4.995e-05,4.995e-05
2,585.639,1.4015,4.71029,1.17542,0,0,0,0,1.09582,4.73975,0.96834,0.000101186,0.000101186,0.000101186
3,1141.59,1.40361,4.36292,1.14604,0.00988,0.11724,0.06325,0.04522,1.04551,4.51988,0.93835,0.000150312,0.000150312,0.000150312
4,1531.77,1.3359,3.88553,1.07218,0.05253,0.33471,0.1507,0.11466,1.03455,4.15759,0.9511,0.000197328,0.000197328,0.000197328
5,1882.36,1.29526,3.49159,1.04166,0.80056,0.13531,0.23258,0.17738,1.02329,3.60118,0.94479,0.000242235,0.000242235,0.000242235
6,2251.3,1.28767,3.11935,1.04433,0.52398,0.24486,0.27533,0.20859,1.0535,3.14857,0.9726,0.000285031,0.000285031,0.000285031
7,2566.41,1.28158,2.85573,1.03185,0.56921,0.27838,0.29911,0.23244,1.00812,2.87864,0.96689,0.00029344,0.00029344,0.00029344
8,2792.92,1.3029,2.68116,1.04496,0.54121,0.30822,0.32474,0.25612,0.99445,2.56294,0.97271,0.000286846,0.000286846,0.000286846
9,3185.83,1.19909,2.35995,1.00451,0.52111,0.35817,0.39853,0.30169,1.01064,2.32397,0.99593,0.000280253,0.000280253,0.000280253
10,3429.78,1.19168,2.17465,1.03162,0.54942,0.38897,0.42387,0.31715,1.01439,2.12544,0.99001,0.000273659,0.000273659,0.000273659
11,3665.09,1.13742,1.98393,1.00208,0.47507,0.47114,0.49488,0.38049,0.98876,1.99879,0.99015,0.000267066,0.000267066,0.000267066
12,4057.41,1.17297,1.94224,1.02642,0.57046,0.46777,0.50834,0.39714,0.97508,1.77667,0.98766,0.000260473,0.000260473,0.000260473
13,4307.19,1.15178,1.86065,1.01277,0.51511,0.45783,0.47218,0.36602,0.93952,1.59935,0.97014,0.000253879,0.000253879,0.000253879
14,4640.41,1.09292,1.65922,0.98196,0.69611,0.43499,0.49983,0.39029,0.88865,1.48412,0.95839,0.000247286,0.000247286,0.000247286
15,5058.73,1.08975,1.57531,0.98255,0.63691,0.43601,0.52728,0.41042,0.9142,1.48768,0.95892,0.000240692,0.000240692,0.000240692
16,5415.86,1.14767,1.60555,1.00697,0.58539,0.26812,0.32995,0.24731,0.89722,1.41944,0.94956,0.000234099,0.000234099,0.000234099
17,5822.33,1.10395,1.51998,0.98225,0.60865,0.50943,0.57192,0.42862,0.93926,1.38611,0.96807,0.000227506,0.000227506,0.000227506
18,6118.14,1.13033,1.59589,1.02642,0.68085,0.52741,0.58991,0.44993,0.87996,1.23992,0.94131,0.000220912,0.000220912,0.000220912
19,6487.79,1.02232,1.29552,0.96559,0.7153,0.32613,0.37318,0.28495,0.88293,1.13369,0.94878,0.000214319,0.000214319,0.000214319
20,6860.35,1.0631,1.32766,0.96383,0.61471,0.32398,0.37593,0.29086,0.87465,1.11482,0.93782,0.000207725,0.000207725,0.000207725
21,7181.04,1.05072,1.30879,0.9586,0.68732,0.48958,0.52756,0.40342,0.87067,1.08154,0.93801,0.000201132,0.000201132,0.000201132
22,7508.62,1.01985,1.20418,0.96054,0.71403,0.49395,0.53504,0.41911,0.84683,1.04898,0.92832,0.000194539,0.000194539,0.000194539
23,7798.68,1.04917,1.22155,0.9682,0.8198,0.49855,0.54828,0.42843,0.83738,1.0259,0.92577,0.000187945,0.000187945,0.000187945
24,8341.95,1.01973,1.1972,0.95635,0.7106,0.20182,0.26038,0.19626,0.81105,0.98265,0.91867,0.000181352,0.000181352,0.000181352
25,8760.39,0.98843,1.14208,0.95398,0.83339,0.45801,0.50772,0.40007,0.81979,0.92178,0.92028,0.000174758,0.000174758,0.000174758
26,9142.84,1.0371,1.15708,0.97081,0.79588,0.45242,0.51031,0.39398,0.81972,0.90962,0.91444,0.000168165,0.000168165,0.000168165
27,9448.95,1.00064,1.09831,0.94493,0.68898,0.20714,0.25744,0.19505,0.79657,0.91964,0.91146,0.000161572,0.000161572,0.000161572
28,9908.22,1.05816,1.49673,0.98964,0.73588,0.21607,0.26483,0.19817,0.80574,0.88674,0.91161,0.000154978,0.000154978,0.000154978
